city,date,fare,ride_id
Jerryton,4/29/2019,41.27,902958000000.00
Grahamburgh,1/9/2019,13.55,5462600000000.00
South Jack,3/30/2019,4.2,4817670000000.00
West Christopherberg,1/23/2019,30.93,5335680000000.00
Lake Scottton,3/26/2019,9.79,1827900000000.00
West Patrickchester,1/14/2019,24.82,5934940000000.00
Royland,1/17/2019,27.92,3147270000000.00
South Karenland,2/14/2019,39.53,2861640000000.00
Erikaland,3/27/2019,36.52,2195950000000.00
Rodneyfort,3/20/2019,42.57,6354950000000.00
Williamsstad,5/1/2019,26.81,4542950000000.00
Richardfort,2/13/2019,14,910050000000.00
West Ericstad,1/25/2019,20.03,3276480000000.00
Grahamburgh,3/5/2019,4.33,803729000000.00
North Barbara,5/4/2019,24.09,9275090000000.00
West Robert,1/4/2019,35.35,9554290000000.00
Justinberg,3/14/2019,36.32,6771690000000.00
South Michelleport,3/3/2019,41.62,2339780000000.00
North Jasmine,2/22/2019,25.33,1319970000000.00
Barajasview,3/1/2019,28.25,7225830000000.00
Carriemouth,4/4/2019,12.91,4276690000000.00
Amandaburgh,2/24/2019,43.66,6573820000000.00
Johnton,3/27/2019,18.89,3634070000000.00
Port Angela,3/4/2019,40.35,4930810000000.00
Rodneyfort,5/6/2019,27.16,3765500000000.00
Amandaburgh,2/10/2019,36.17,6455620000000.00
North Madeline,2/25/2019,13.58,4932840000000.00
West Angela,3/1/2019,30.3,9673530000000.00
Joneschester,1/3/2019,25.47,5540180000000.00
Joneschester,1/3/2019,17.97,5439310000000.00
South Phillip,1/29/2019,35.23,7418230000000.00
Liumouth,3/30/2019,4.66,3164440000000.00
West Anthony,1/10/2019,32.34,1479320000000.00
North Jason,2/26/2019,13.88,2494980000000.00
North Jason,3/21/2019,10.42,6601540000000.00
Carriemouth,4/28/2019,11.46,6991850000000.00
Huntermouth,5/4/2019,36.77,7186620000000.00
South Phillip,4/18/2019,39.95,9719020000000.00
South Jack,2/1/2019,28.37,3372010000000.00
Port Johnbury,5/5/2019,25.3,2541020000000.00
South Phillip,5/6/2019,43.43,2435200000000.00
North Jasmine,4/10/2019,38.24,2955000000000.00
South Michelleport,1/27/2019,15.45,7465260000000.00
North Madeline,4/7/2019,32.99,1819350000000.00
Christopherfurt,2/24/2019,40.33,9584190000000.00
Williamsstad,2/23/2019,4.68,9109970000000.00
Martinezhaven,4/18/2019,34.7,2023090000000.00
Simpsonburgh,4/3/2019,4.74,8556330000000.00
New Jacobville,2/4/2019,27.63,4329150000000.00
South Karenland,2/12/2019,5.78,8890440000000.00
Royland,1/27/2019,24.56,9656710000000.00
Karenside,1/22/2019,24.72,5326730000000.00
West Robert,5/5/2019,10.15,9392180000000.00
Port Samanthamouth,4/27/2019,12.84,5659910000000.00
West Samuelburgh,3/7/2019,14.55,7160360000000.00
New Kimberlyborough,3/29/2019,42.51,8296940000000.00
Port David,3/27/2019,15.64,5338480000000.00
Karenside,3/18/2019,36.96,7605140000000.00
New Paulton,2/8/2019,39.65,8505960000000.00
West Ericstad,1/8/2019,32.99,6688340000000.00
Port Johnbury,3/21/2019,32.8,5450930000000.00
Port Samanthamouth,3/27/2019,16.05,1412280000000.00
Port Frank,1/8/2019,42.13,2099160000000.00
Lake Jonathanshire,4/6/2019,16.84,6164450000000.00
West Angela,2/5/2019,36.37,7832430000000.00
Port Samanthamouth,3/27/2019,21.46,9991540000000.00
North Madeline,3/4/2019,21.38,9544490000000.00
Williamsview,1/15/2019,44.33,4627030000000.00
Grahamburgh,2/21/2019,22.65,816396000000.00
South Evanton,3/6/2019,30.87,5811920000000.00
Loganberg,3/27/2019,4.72,6120690000000.00
Carriemouth,2/21/2019,44.18,4528590000000.00
Port David,1/2/2019,7.45,6148350000000.00
West Heidi,1/30/2019,30.84,8936560000000.00
Williamsstad,3/5/2019,25.02,1313210000000.00
North Barbara,2/4/2019,42.59,4971250000000.00
Lake Danielberg,3/17/2019,10.18,4714400000000.00
North Markport,4/13/2019,20.09,4311210000000.00
Port Angela,5/2/2019,35.76,7945960000000.00
Port Samanthamouth,3/15/2019,25.97,7725960000000.00
West Angela,5/3/2019,24.07,7808190000000.00
Leahton,2/21/2019,24.13,6759670000000.00
North Markport,4/28/2019,40.46,2567890000000.00
Karenside,3/9/2019,40.86,1757540000000.00
Jerryton,1/7/2019,7.86,707330000000.00
South Michelleport,4/14/2019,37.93,1533270000000.00
Valentineton,3/25/2019,22.53,2335050000000.00
East Kaylahaven,4/9/2019,10.03,8036810000000.00
Erikaland,4/13/2019,25.22,4847170000000.00
West Christopherberg,1/8/2019,37.78,8767060000000.00
Pattyland,2/1/2019,32.03,2850240000000.00
Deanville,2/8/2019,21.22,4786810000000.00
West Christopherberg,3/21/2019,43.87,5085480000000.00
Justinberg,3/23/2019,30.58,3503300000000.00
Lake Danielberg,2/24/2019,34.82,2442270000000.00
Port Samanthamouth,1/30/2019,38.78,6119830000000.00
Lake Danielberg,2/28/2019,44.96,6319590000000.00
Deanville,4/15/2019,24.3,1065300000000.00
Pattyland,2/15/2019,44.03,1556660000000.00
Karenside,1/27/2019,7.65,473230000000.00
Port Angela,4/22/2019,7.91,6767310000000.00
West Angela,4/14/2019,32.77,4995730000000.00
South Karenland,3/26/2019,35.5,1482390000000.00
New Jacobville,2/18/2019,39.97,8028700000000.00
Roberthaven,3/14/2019,36.84,4123410000000.00
Lake Scottton,4/24/2019,5.31,9668340000000.00
Amandaburgh,1/11/2019,29.24,7279900000000.00
Reynoldsfurt,5/5/2019,14.95,1404730000000.00
West Patrickchester,2/9/2019,16.1,9112330000000.00
Christopherfurt,4/13/2019,37.22,3288050000000.00
South Evanton,4/27/2019,27.78,9377580000000.00
Lake Scottton,2/7/2019,10.76,4201250000000.00
Roberthaven,3/14/2019,35.27,4034560000000.00
Rodneyfort,3/4/2019,28.69,275698000000.00
West Josephberg,2/17/2019,41.49,2821330000000.00
Lake Jonathanshire,3/21/2019,37.95,8353660000000.00
Simpsonburgh,2/5/2019,25.58,2038700000000.00
West Heidi,3/19/2019,5.65,2474790000000.00
North Barbara,3/23/2019,23.76,5550270000000.00
North Jasmine,3/11/2019,37.93,4221380000000.00
West Gabriel,4/29/2019,36.7,4103500000000.00
Liumouth,4/14/2019,31.63,6166290000000.00
Carriemouth,3/2/2019,28.04,5138540000000.00
West Robert,3/24/2019,34.9,9472330000000.00
North Jasmine,5/2/2019,29.86,3198990000000.00
Carriemouth,3/21/2019,44.64,9560840000000.00
Lake Scottton,2/15/2019,22.75,8382040000000.00
North Madeline,4/12/2019,7.77,9273340000000.00
Lake Danielberg,1/7/2019,17.39,4355540000000.00
North Madeline,4/30/2019,37.48,2508130000000.00
Port David,1/7/2019,20.49,5846260000000.00
Royland,2/11/2019,30.41,7200100000000.00
West Samuelburgh,2/20/2019,19.65,6623790000000.00
West Angela,3/18/2019,34.05,5332410000000.00
West Patrickchester,3/6/2019,32.37,3684670000000.00
Port Frank,2/5/2019,20.1,4443070000000.00
New Kimberlyborough,2/9/2019,39.55,6010050000000.00
Justinberg,4/20/2019,29.07,209655000000.00
West Angela,4/18/2019,16.18,5770100000000.00
Justinberg,3/10/2019,37.89,5563130000000.00
Valentineton,1/10/2019,19.91,774511000000.00
Williamsview,4/7/2019,18.92,23948941587.00
South Jack,1/31/2019,21.75,6971160000000.00
Port Frank,2/18/2019,39.06,7301850000000.00
Leahton,2/13/2019,16.79,4744790000000.00
South Michelleport,2/22/2019,22.52,8522740000000.00
South Karenland,4/25/2019,24.86,1307710000000.00
Richardfort,2/16/2019,17.92,820639000000.00
Williamsstad,4/16/2019,23.12,969458000000.00
South Michelleport,2/12/2019,27.7,5582880000000.00
West Patrickchester,4/13/2019,33.33,1834060000000.00
Martinezhaven,4/18/2019,5.81,2124250000000.00
North Jason,1/23/2019,21.95,6701800000000.00
North Jason,4/18/2019,22.42,4927790000000.00
Lake Scottton,5/3/2019,9.01,1289760000000.00
West Christopherberg,3/1/2019,11.97,6422550000000.00
North Markport,4/10/2019,38.02,8834530000000.00
Christopherfurt,4/9/2019,29.96,9825840000000.00
North Madeline,1/29/2019,17.57,2596460000000.00
Richardfort,2/1/2019,10.26,9554940000000.00
South Phillip,1/25/2019,38.15,3599160000000.00
East Kaylahaven,2/11/2019,43.19,8671040000000.00
Rodneyfort,4/11/2019,36.3,9048910000000.00
Pattyland,4/26/2019,19.99,8827780000000.00
South Karenland,3/24/2019,41.44,604857000000.00
Port David,3/24/2019,28.84,5266780000000.00
Rodneyfort,3/10/2019,29.13,4634910000000.00
New Paulton,2/2/2019,17.19,8500430000000.00
Williamsstad,3/12/2019,18.67,2161830000000.00
South Michelleport,1/29/2019,9.79,5529060000000.00
West Christopherberg,3/21/2019,21.41,7703400000000.00
Lake Scottton,3/25/2019,36.92,7043640000000.00
Port Angela,3/19/2019,17.21,1694210000000.00
Christopherfurt,4/17/2019,32.39,653652000000.00
Joneschester,2/27/2019,33.34,2386090000000.00
Loganberg,1/25/2019,26.03,9123750000000.00
South Phillip,2/19/2019,33.07,8518160000000.00
Deanville,1/23/2019,42.45,7286210000000.00
New Kimberlyborough,1/30/2019,29.09,8587120000000.00
Port Johnbury,4/11/2019,9.1,7804750000000.00
West Patrickchester,4/19/2019,44.5,8638320000000.00
West Robert,1/11/2019,5.16,1592590000000.00
New Paulton,3/28/2019,14.94,3703490000000.00
South Latoya,3/19/2019,31.72,363818000000.00
Robertport,2/18/2019,43.47,7995690000000.00
Valentineton,1/19/2019,6.71,9052710000000.00
South Latoya,1/18/2019,10.98,7144190000000.00
Simpsonburgh,1/12/2019,24.83,3151660000000.00
West Patrickchester,2/12/2019,22.64,4553730000000.00
Richardfort,4/17/2019,23,720021000000.00
Hurleymouth,2/20/2019,17.07,7023700000000.00
Leahton,1/27/2019,29.36,2921810000000.00
West Anthony,4/29/2019,27.04,4375350000000.00
New Kimberlyborough,1/5/2019,39.47,2812690000000.00
South Latoya,3/19/2019,40.29,660213000000.00
Williamsstad,4/12/2019,17.57,7099680000000.00
South Karenland,2/1/2019,31.64,9377350000000.00
North Jason,4/16/2019,24.07,9726120000000.00
West Angela,1/27/2019,9.24,2623130000000.00
Lake Danielberg,2/8/2019,10.31,2464530000000.00
Port Samanthamouth,4/6/2019,24.18,8484620000000.00
New Jacobville,2/9/2019,37.51,5692070000000.00
New Kimberlyborough,3/10/2019,10.83,1558580000000.00
New Kimberlyborough,1/8/2019,13.34,626984000000.00
Karenberg,3/5/2019,44.1,9226780000000.00
South Phillip,4/11/2019,21.06,4832100000000.00
Loganberg,1/20/2019,38.66,7239150000000.00
Carriemouth,5/1/2019,10.97,8792110000000.00
West Patrickchester,1/21/2019,19.44,2088370000000.00
Martinezhaven,2/7/2019,4.31,9333330000000.00
Karenside,1/8/2019,22.64,2411620000000.00
North Jason,3/24/2019,32.72,7960290000000.00
Lake Danielberg,3/28/2019,28.53,9808250000000.00
Pattyland,4/3/2019,14.06,5399010000000.00
Pattyland,2/21/2019,7.06,5808460000000.00
Loganberg,1/11/2019,44.34,1376540000000.00
Leahton,2/28/2019,9.08,8197500000000.00
Reynoldsfurt,1/17/2019,24.84,5000180000000.00
Raymondhaven,2/22/2019,7.64,7311720000000.00
South Latoya,2/12/2019,5.54,839760000000.00
Lake Scottton,1/18/2019,31.92,5706290000000.00
Port David,2/24/2019,35.63,3354530000000.00
Roberthaven,4/5/2019,31.09,1016220000000.00
Rogerston,3/24/2019,39.6,9196190000000.00
Karenberg,4/27/2019,44.73,3800720000000.00
Martinezhaven,4/14/2019,32.57,971302000000.00
South Evanton,1/20/2019,25.94,3431710000000.00
North Jasmine,4/26/2019,35.33,6857330000000.00
Hurleymouth,1/12/2019,10.64,8125600000000.00
West Robert,3/7/2019,12.22,2705600000000.00
Deanville,4/21/2019,33.37,7763080000000.00
South Michelleport,1/9/2019,10.68,3236910000000.00
Royland,2/2/2019,42.52,7835420000000.00
Rodneyfort,4/10/2019,25.4,9060370000000.00
North Madeline,1/12/2019,20.82,8114790000000.00
Lake Danielberg,4/28/2019,39.82,7889100000000.00
Port Johnbury,5/2/2019,42.42,3245380000000.00
Richardfort,4/21/2019,9.54,3698150000000.00
Liumouth,3/22/2019,33.1,3678560000000.00
Roberthaven,1/21/2019,23.14,4939140000000.00
Amandaburgh,1/21/2019,9.26,5528430000000.00
South Evanton,4/25/2019,26.84,1539240000000.00
Port Samanthamouth,3/25/2019,34.94,821747000000.00
South Michelleport,3/13/2019,10.44,5684860000000.00
North Madeline,1/14/2019,31.88,8713000000000.00
Hurleymouth,3/17/2019,29.95,5225180000000.00
Port David,4/10/2019,26.68,5361390000000.00
Pattyland,2/10/2019,24.39,7264850000000.00
Liumouth,3/17/2019,19.05,9118270000000.00
Robertport,4/3/2019,15.14,6669720000000.00
Hurleymouth,4/1/2019,9.94,4063430000000.00
West Samuelburgh,4/17/2019,15.03,4021530000000.00
South Phillip,3/18/2019,17.57,8431000000000.00
West Josephberg,1/29/2019,7.58,6142970000000.00
Roberthaven,2/16/2019,14.95,6653680000000.00
West Christopherberg,3/27/2019,21.55,2201810000000.00
Christopherfurt,3/30/2019,31.3,7457130000000.00
Hurleymouth,2/1/2019,22.39,6071730000000.00
Port Frank,3/16/2019,30.24,1454210000000.00
Lake Danielberg,1/16/2019,20.07,8448610000000.00
West Ericstad,3/28/2019,22.28,3135270000000.00
Karenside,3/11/2019,44.29,3269160000000.00
South Evanton,3/17/2019,36.31,2783520000000.00
West Heidi,5/5/2019,37.75,3646770000000.00
Robertport,2/28/2019,13.39,681044000000.00
South Jack,1/5/2019,13.14,6809750000000.00
West Josephberg,2/28/2019,11.1,3529530000000.00
Port Frank,3/26/2019,28.83,889805000000.00
Barajasview,2/19/2019,26.83,937248000000.00
Justinberg,1/3/2019,5.81,9261160000000.00
North Barbara,4/17/2019,39.18,3503290000000.00
West Angela,3/8/2019,4.92,5445150000000.00
South Latoya,3/19/2019,30.03,9560330000000.00
Hurleymouth,1/18/2019,4.66,8622880000000.00
Johnton,4/5/2019,22.87,1030620000000.00
Carriemouth,3/27/2019,38.69,4407120000000.00
Reynoldsfurt,4/19/2019,13.63,7990080000000.00
Christopherfurt,3/16/2019,19.61,2290370000000.00
Liumouth,4/28/2019,5.42,8026920000000.00
New Kimberlyborough,3/19/2019,15.78,6414960000000.00
Martinezhaven,3/7/2019,23.55,7385330000000.00
East Kaylahaven,4/6/2019,35.79,8930600000000.00
Simpsonburgh,4/26/2019,33.71,2597480000000.00
Lake Jonathanshire,1/28/2019,5.67,9756570000000.00
Robertport,4/19/2019,39.57,3970340000000.00
South Karenland,3/20/2019,33.24,3097270000000.00
Raymondhaven,3/7/2019,17.66,9257560000000.00
Port David,2/18/2019,20.16,1847430000000.00
Royland,2/20/2019,38.28,3616650000000.00
East Kaylahaven,1/29/2019,41.62,7157220000000.00
Valentineton,2/23/2019,19.99,9658410000000.00
Martinezhaven,3/12/2019,21.18,4046810000000.00
South Phillip,2/19/2019,28.62,4408030000000.00
Royland,5/4/2019,15.14,4988290000000.00
West Heidi,2/5/2019,24.32,426277000000.00
East Kaylahaven,2/28/2019,33.72,1224920000000.00
New Kimberlyborough,4/3/2019,14.73,9083110000000.00
South Karenland,1/10/2019,37.58,7165970000000.00
Richardfort,2/3/2019,29.04,4982670000000.00
Justinberg,3/10/2019,22.43,5552740000000.00
Huntermouth,3/21/2019,32.42,3393250000000.00
Roberthaven,3/22/2019,34.69,1772990000000.00
West Heidi,3/11/2019,43.45,4654880000000.00
Raymondhaven,2/17/2019,39.7,3251740000000.00
Karenside,4/16/2019,39.32,3155940000000.00
Rogerston,3/16/2019,43.82,4718960000000.00
Port Johnbury,4/28/2019,36.42,273966000000.00
West Josephberg,1/18/2019,43.85,9654660000000.00
North Jasmine,2/5/2019,19.21,6785090000000.00
Loganberg,4/10/2019,35.97,8828010000000.00
Barajasview,4/15/2019,17.76,8098250000000.00
New Paulton,4/17/2019,44.43,338361000000.00
West Angela,1/19/2019,40.4,740626000000.00
North Jasmine,2/18/2019,31.49,9759080000000.00
North Barbara,2/11/2019,43.26,8973500000000.00
Rogerston,3/2/2019,25.14,1722620000000.00
Williamsstad,2/21/2019,4.9,7176450000000.00
South Jack,1/14/2019,40.65,5440570000000.00
West Anthony,4/15/2019,43.82,4381500000000.00
Royland,2/12/2019,44.33,5324590000000.00
West Angela,4/3/2019,23.52,4843050000000.00
Liumouth,2/22/2019,6.39,8116530000000.00
Amandaburgh,4/19/2019,6.27,4400630000000.00
West Ericstad,1/23/2019,10.12,8035850000000.00
South Jack,1/15/2019,5.58,1793900000000.00
Barajasview,5/2/2019,17.12,4628920000000.00
Amandaburgh,3/20/2019,27.45,3701010000000.00
East Kaylahaven,3/17/2019,8.62,1953430000000.00
Port Samanthamouth,1/27/2019,28.46,882650000000.00
New Paulville,1/25/2019,15.04,7529440000000.00
West Anthony,4/3/2019,10.56,3762870000000.00
